id,name,brand_id,brand_name,instance_model_id,creation_date,last_updated,keywords,url,category,slug,picture_url,specs.id,specs.unicode,specs.energy_efficiency_cl_id,specs.energy_efficiency_cl_unicode,specs.energy_efficiency_cl_name,specs.energy_efficiency_cl_value,specs.port_id,specs.port_unicode,specs.port_port_id,specs.port_port_unicode,specs.port_port_name,specs.color_support_id,specs.color_support_unicode,specs.color_support_name,specs.picture,specs.is_duplex,specs.bw_ppm,specs.color_ppm,specs.technology_id,specs.technology_unicode,specs.technology_name,specs.line_id,specs.line_unicode,specs.line_name,specs.line_brand_id,specs.line_brand_unicode,specs.line_brand_brand_id,specs.line_brand_brand_unicode,specs.line_brand_brand_name,specs.p_type_id,specs.p_type_unicode,specs.p_type_name,specs.standby_monthly_consumption_cl,specs.name,specs.brand_unicode,specs.pretty_networking,specs.model_name,specs.additional_functions_id,specs.additional_functions_unicode,specs.additional_functions_name,specs.networking_id,specs.networking_unicode,specs.networking_name,catIPC
84815,HP Deskjet Ink Advantage 1275 (7WN64A),832,HP,1213388,2020-08-12T13:42:43.409344+00:00,2020-10-17T12:41:30.479766+00:00,HP Deskjet Ink Advantage 1275 (7WN64A) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Color Color False 7.5 5.5 Inyección de tinta Inyección de tinta HP Deskjet Deskjet HP HP HP Estándar Estándar 0.0 Ink Advantage 1275 (7WN64A),https://publicapi.solotodo.com/products/84815/,https://publicapi.solotodo.com/categories/16/,hp-deskjet-ink-advantage-1275-7wn64a,https://media.solotodo.com/media/products/1213388_picture_1597239811.png,1213388,HP Deskjet Ink Advantage 1275 (7WN64A),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,326003,Color,Color,products/1213388_picture_1597239811.png,False,7.5,5.5,325952,Inyección de tinta,Inyección de tinta,326446,HP Deskjet,Deskjet,326133,HP,104463,HP,HP,325923,Estándar,Estándar,0.0,Ink Advantage 1275 (7WN64A),HP,No posee,Deskjet Ink Advantage 1275 (7WN64A),,,,,,,impresoras
67668,HP LaserJet 107a (4ZB77A),832,HP,1003854,2019-10-21T23:17:09.930087+00:00,2020-10-17T12:16:58.358103+00:00,HP LaserJet 107a (4ZB77A) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro False 21.0 0.0 Láser Láser HP LaserJet LaserJet HP HP HP Estándar Estándar 0.0 107a (4ZB77A),https://publicapi.solotodo.com/products/67668/,https://publicapi.solotodo.com/categories/16/,hp-laserjet-107a-4zb77a,https://media.solotodo.com/media/products/1003854_picture_1571699950.jpg,1003854,HP LaserJet 107a (4ZB77A),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/1003854_picture_1571699950.jpg,False,21.0,0.0,325961,Láser,Láser,326379,HP LaserJet,LaserJet,326133,HP,104463,HP,HP,325923,Estándar,Estándar,0.0,107a (4ZB77A),HP,No posee,LaserJet 107a (4ZB77A),,,,,,,impresoras
84230,HP Deskjet Ink Advantage 2375 (7WQ01A),832,HP,1206721,2020-07-29T07:49:57.791182+00:00,2020-10-17T12:40:26.923017+00:00,HP Deskjet Ink Advantage 2375 (7WQ01A) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Color Color False 7.5 5.5 Inyección de tinta Inyección de tinta HP Deskjet Deskjet HP HP HP Multifuncional Multifuncional 0.0 Ink Advantage 2375 (7WQ01A) Copiadora Copiadora Escáner Escáner,https://publicapi.solotodo.com/products/84230/,https://publicapi.solotodo.com/categories/16/,hp-deskjet-ink-advantage-2375-7wq01a,https://media.solotodo.com/media/products/1206721_picture_1596009153.png,1206721,HP Deskjet Ink Advantage 2375 (7WQ01A),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,326003,Color,Color,products/1206721_picture_1596009153.png,False,7.5,5.5,325952,Inyección de tinta,Inyección de tinta,326446,HP Deskjet,Deskjet,326133,HP,104463,HP,HP,325931,Multifuncional,Multifuncional,0.0,Ink Advantage 2375 (7WQ01A),HP,No posee,Deskjet Ink Advantage 2375 (7WQ01A),"[326062, 326072]","['Copiadora', 'Escáner']","['Copiadora', 'Escáner']",,,,impresoras
19347,Brother HL-1202,764,Brother,327307,2015-04-06T00:00:00+00:00,2020-10-17T11:19:32.085324+00:00,Brother HL-1202 A A 4 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro False 21.0 0.0 Láser Láser Brother   Brother Brother Brother Estándar Estándar 0.436 HL-1202,https://publicapi.solotodo.com/products/19347/,https://publicapi.solotodo.com/categories/16/,brother-hl-1202,https://media.solotodo.com/media/products/327307_picture_1526644480.jpeg,327307,Brother HL-1202,676976,A,A,4,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/327307_picture_1526644480.jpeg,False,21.0,0.0,325961,Láser,Láser,326207,Brother, ,326099,Brother,104209,Brother,Brother,325923,Estándar,Estándar,0.436,HL-1202,Brother,No posee,HL-1202,,,,,,,impresoras
127949,AgfaPhoto Realipix Pocket P (White),187,AgfaPhoto,1514103,2021-12-22T09:22:01.157253+00:00,2021-12-22T09:23:25.297666+00:00,AgfaPhoto Realipix Pocket P (White) N/A N/A N/A 0.0 False 0.0 Pocket P (White) Desconocido Desconocido 12 0.0 Bluetooth Bluetooth Pocket Pocket Inyección de tinta Inyección de tinta AgfaPhoto Realipix AgfaPhoto AgfaPhoto AgfaPhoto Realipix Color Color,https://publicapi.solotodo.com/products/127949/,https://publicapi.solotodo.com/categories/16/,agfaphoto-realipix-pocket-p-white,https://media.solotodo.com/media/products/1514103_picture_1640164941.jpg,1514103,AgfaPhoto Realipix Pocket P (White),677000,Desconocido,Desconocido,12,1046016,,1046014,,,326003,Color,Color,products/1514103_picture_1640164941.jpg,False,0.0,0.0,325952,Inyección de tinta,Inyección de tinta,1485518,AgfaPhoto Realipix,Realipix,1485517,AgfaPhoto,1485515,AgfaPhoto,AgfaPhoto,325940,Pocket,Pocket,0.0,Pocket P (White),AgfaPhoto,Bluetooth,Realipix Pocket P (White),,,,[326009],['Bluetooth'],['Bluetooth'],impresoras
75015,Epson Expression XP-2101 (C11CH02303),268,Epson,1084713,2020-02-19T21:36:29.713186+00:00,2020-10-17T12:26:04.921364+00:00,Epson Expression XP-2101 (C11CH02303) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Color Color False 8.0 4.0 Inyección de tinta Inyección de tinta Epson   Epson Epson Epson Multifuncional Multifuncional 0.0 Expression XP-2101 (C11CH02303) Copiadora Copiadora Escáner Escáner Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/75015/,https://publicapi.solotodo.com/categories/16/,epson-expression-xp-2101-c11ch02303,https://media.solotodo.com/media/products/1054690_picture_1579740846.jpg,1084713,Epson Expression XP-2101 (C11CH02303),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,326003,Color,Color,products/1054690_picture_1579740846.jpg,False,8.0,4.0,325952,Inyección de tinta,Inyección de tinta,326314,Epson, ,326116,Epson,104320,Epson,Epson,325931,Multifuncional,Multifuncional,0.0,Expression XP-2101 (C11CH02303),Epson,Wi-Fi,Expression XP-2101 (C11CH02303),"[326062, 326072]","['Copiadora', 'Escáner']","['Copiadora', 'Escáner']",[326055],['Wi-Fi'],['Wi-Fi'],impresoras
76432,Canon PIXMA TS701,667,Canon,1102501,2020-03-08T07:50:16.165424+00:00,2020-10-17T12:28:14.547936+00:00,Canon PIXMA TS701 A A 4 USB 2.0 USB 2.0 USB 2.0 Color Color True 15.0 10.0 Inyección de tinta Inyección de tinta Canon PIXMA PIXMA Canon Canon Canon Estándar Estándar 0.45 TS701 Bluetooth Bluetooth Ethernet Ethernet Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/76432/,https://publicapi.solotodo.com/categories/16/,canon-pixma-ts701,https://media.solotodo.com/media/products/1102501_picture_1583653926.png,1102501,Canon PIXMA TS701,676976,A,A,4,326195,USB 2.0,130924,USB 2.0,USB 2.0,326003,Color,Color,products/1102501_picture_1583653926.png,True,15.0,10.0,325952,Inyección de tinta,Inyección de tinta,326269,Canon PIXMA,PIXMA,326105,Canon,104215,Canon,Canon,325923,Estándar,Estándar,0.45,TS701,Canon,Bluetooth | Ethernet | Wi-Fi,PIXMA TS701,,,,"[326009, 326016, 326055]","['Bluetooth', 'Ethernet', 'Wi-Fi']","['Bluetooth', 'Ethernet', 'Wi-Fi']",impresoras
87706,Xiaomi Mi Portable Photo Printer,465,Xiaomi,1245126,2020-10-09T12:02:15.919323+00:00,2020-10-17T12:46:08.523051+00:00,Xiaomi Mi Portable Photo Printer Desconocido Desconocido 12 N/A N/A N/A Color Color False 0.0 0.0 Inyección de tinta Inyección de tinta Xiaomi Mi Mi Xiaomi Xiaomi Xiaomi Pocket Pocket 0.0 Portable Photo Printer Bluetooth Bluetooth,https://publicapi.solotodo.com/products/87706/,https://publicapi.solotodo.com/categories/16/,xiaomi-mi-portable-photo-printer,https://media.solotodo.com/media/products/1245126_picture_1602245033.jpg,1245126,Xiaomi Mi Portable Photo Printer,677000,Desconocido,Desconocido,12,1046016,,1046014,,,326003,Color,Color,products/1245126_picture_1602245033.jpg,False,0.0,0.0,325952,Inyección de tinta,Inyección de tinta,1245136,Xiaomi Mi,Mi,1245135,Xiaomi,1245133,Xiaomi,Xiaomi,325940,Pocket,Pocket,0.0,Portable Photo Printer,Xiaomi,Bluetooth,Mi Portable Photo Printer,,,,[326009],['Bluetooth'],['Bluetooth'],impresoras
68080,HP LaserJet 107w (4ZB78A),832,HP,1007557,2019-10-29T22:52:48.387638+00:00,2020-10-17T12:17:18.602200+00:00,HP LaserJet 107w (4ZB78A) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro False 21.0 0.0 Láser Láser HP LaserJet LaserJet HP HP HP Estándar Estándar 0.0 107w (4ZB78A) Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/68080/,https://publicapi.solotodo.com/categories/16/,hp-laserjet-107w-4zb78a,https://media.solotodo.com/media/products/1007557_picture_1572389656.png,1007557,HP LaserJet 107w (4ZB78A),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/1007557_picture_1572389656.png,False,21.0,0.0,325961,Láser,Láser,326379,HP LaserJet,LaserJet,326133,HP,104463,HP,HP,325923,Estándar,Estándar,0.0,107w (4ZB78A),HP,Wi-Fi,LaserJet 107w (4ZB78A),,,,[326055],['Wi-Fi'],['Wi-Fi'],impresoras
84312,HP Deskjet Ink Advantage 2775 All-in-One Printer (7FR21A),832,HP,1207563,2020-07-30T19:13:51.228119+00:00,2020-10-17T12:40:32.415125+00:00,HP Deskjet Ink Advantage 2775 All-in-One Printer (7FR21A) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Color Color False 7.5 5.5 Inyección de tinta Inyección de tinta HP Deskjet Deskjet HP HP HP Multifuncional Multifuncional 0.0 Ink Advantage 2775 All-in-One Printer (7FR21A) Copiadora Copiadora Escáner Escáner Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/84312/,https://publicapi.solotodo.com/categories/16/,hp-deskjet-ink-advantage-2775-all-in-one-printer-7fr21a,https://media.solotodo.com/media/products/1207563_picture_1596136552.png,1207563,HP Deskjet Ink Advantage 2775 All-in-One Printer (7FR21A),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,326003,Color,Color,products/1207563_picture_1596136552.png,False,7.5,5.5,325952,Inyección de tinta,Inyección de tinta,326446,HP Deskjet,Deskjet,326133,HP,104463,HP,HP,325931,Multifuncional,Multifuncional,0.0,Ink Advantage 2775 All-in-One Printer (7FR21A),HP,Wi-Fi,Deskjet Ink Advantage 2775 All-in-One Printer (7FR21A),"[326062, 326072]","['Copiadora', 'Escáner']","['Copiadora', 'Escáner']",[326055],['Wi-Fi'],['Wi-Fi'],impresoras
68635,Xerox B210 (B210V_DNI),623,Xerox,1014090,2019-11-12T21:26:51.638984+00:00,2020-10-17T12:17:56.876151+00:00,Xerox B210 (B210V_DNI) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro True 30.0 0.0 Láser Láser Xerox   Xerox Xerox Xerox Estándar Estándar 0.0 B210 (B210V_DNI) Ethernet Ethernet Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/68635/,https://publicapi.solotodo.com/categories/16/,xerox-b210-b210v_dni,https://media.solotodo.com/media/products/1014090_picture_1573594182.jpg,1014090,Xerox B210 (B210V_DNI),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/1014090_picture_1573594182.jpg,True,30.0,0.0,325961,Láser,Láser,326557,Xerox, ,326187,Xerox,104994,Xerox,Xerox,325923,Estándar,Estándar,0.0,B210 (B210V_DNI),Xerox,Ethernet | Wi-Fi,B210 (B210V_DNI),,,,"[326016, 326055]","['Ethernet', 'Wi-Fi']","['Ethernet', 'Wi-Fi']",impresoras
29333,HP Deskjet Ink Advantage 3775 All-in-One Printer (J9V87A),832,HP,542798,2016-10-31T00:00:00+00:00,2020-10-17T11:33:18.543073+00:00,HP Deskjet Ink Advantage 3775 All-in-One Printer (J9V87A) A A 4 USB 2.0 USB 2.0 USB 2.0 Color Color False 5.5 8.0 Inyección de tinta Inyección de tinta HP Deskjet Deskjet HP HP HP Multifuncional Multifuncional 0.458 Ink Advantage 3775 All-in-One Printer (J9V87A) Copiadora Copiadora Escáner Escáner Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/29333/,https://publicapi.solotodo.com/categories/16/,hp-deskjet-ink-advantage-3775-all-in-one-printer-j9v87a,https://media.solotodo.com/media/products/542798_picture_1477919746.jpg,542798,HP Deskjet Ink Advantage 3775 All-in-One Printer (J9V87A),676976,A,A,4,326195,USB 2.0,130924,USB 2.0,USB 2.0,326003,Color,Color,products/542798_picture_1477919746.jpg,False,5.5,8.0,325952,Inyección de tinta,Inyección de tinta,326446,HP Deskjet,Deskjet,326133,HP,104463,HP,HP,325931,Multifuncional,Multifuncional,0.458,Ink Advantage 3775 All-in-One Printer (J9V87A),HP,Wi-Fi,Deskjet Ink Advantage 3775 All-in-One Printer (J9V87A),"[326062, 326072]","['Copiadora', 'Escáner']","['Copiadora', 'Escáner']",[326055],['Wi-Fi'],['Wi-Fi'],impresoras
23320,Canon imageCLASS LBP6030W (8468B009AA),667,Canon,329004,2016-01-21T00:00:00+00:00,2020-10-17T11:25:16.874892+00:00,Canon imageCLASS LBP6030W (8468B009AA) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro False 18.0 0.0 Láser Láser Canon imageCLASS imageCLASS Canon Canon Canon Estándar Estándar 0.0 LBP6030W (8468B009AA) Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/23320/,https://publicapi.solotodo.com/categories/16/,canon-imageclass-lbp6030w-8468b009aa,https://media.solotodo.com/media/products/LBP6030.jpg,329004,Canon imageCLASS LBP6030W (8468B009AA),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/LBP6030.jpg,False,18.0,0.0,325961,Láser,Láser,326278,Canon imageCLASS,imageCLASS,326105,Canon,104215,Canon,Canon,325923,Estándar,Estándar,0.0,LBP6030W (8468B009AA),Canon,Wi-Fi,imageCLASS LBP6030W (8468B009AA),,,,[326055],['Wi-Fi'],['Wi-Fi'],impresoras
18440,Brother HL-1212W,764,Brother,327351,2015-01-21T00:00:00+00:00,2020-10-17T11:18:33.595036+00:00,Brother HL-1212W A A 4 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro False 21.0 0.0 Láser Láser Brother   Brother Brother Brother Estándar Estándar 0.552 HL-1212W Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/18440/,https://publicapi.solotodo.com/categories/16/,brother-hl-1212w,https://media.solotodo.com/media/products/HL-1212W.jpg,327351,Brother HL-1212W,676976,A,A,4,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/HL-1212W.jpg,False,21.0,0.0,325961,Láser,Láser,326207,Brother, ,326099,Brother,104209,Brother,Brother,325923,Estándar,Estándar,0.552,HL-1212W,Brother,Wi-Fi,HL-1212W,,,,[326055],['Wi-Fi'],['Wi-Fi'],impresoras
124117,AgfaPhoto Realipix Mini P (Black),187,AgfaPhoto,1485508,2021-11-02T14:08:38.132267+00:00,2021-11-02T14:11:14.174666+00:00,AgfaPhoto Realipix Mini P (Black) 0.0 Bluetooth Bluetooth Inyección de tinta Inyección de tinta Pocket Pocket Color Color 0.0 0.0 False Mini P (Black) Desconocido 12 Desconocido AgfaPhoto Realipix Realipix AgfaPhoto AgfaPhoto AgfaPhoto N/A N/A N/A,https://publicapi.solotodo.com/products/124117/,https://publicapi.solotodo.com/categories/16/,agfaphoto-realipix-mini-p-black,https://media.solotodo.com/media/products/1485508_picture_1635862272.jpg,1485508,AgfaPhoto Realipix Mini P (Black),677000,Desconocido,Desconocido,12,1046016,,1046014,,,326003,Color,Color,products/1485508_picture_1635862272.jpg,False,0.0,0.0,325952,Inyección de tinta,Inyección de tinta,1485518,AgfaPhoto Realipix,Realipix,1485517,AgfaPhoto,1485515,AgfaPhoto,AgfaPhoto,325940,Pocket,Pocket,0.0,Mini P (Black),AgfaPhoto,Bluetooth,Realipix Mini P (Black),,,,[326009],['Bluetooth'],['Bluetooth'],impresoras
18282,Xerox Phaser 3020 (3020V_BIC),623,Xerox,348470,2014-12-31T00:00:00+00:00,2020-10-17T11:18:16.060846+00:00,Xerox Phaser 3020 (3020V_BIC) Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro False 20.0 0.0 Láser Láser Xerox Phaser Phaser Xerox Xerox Xerox Estándar Estándar 0.0 3020 (3020V_BIC) Wi-Fi Wi-Fi,https://publicapi.solotodo.com/products/18282/,https://publicapi.solotodo.com/categories/16/,xerox-phaser-3020-3020v_bic,https://media.solotodo.com/media/products/dc08a0775d6d5d8a.jpg,348470,Xerox Phaser 3020 (3020V_BIC),677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/dc08a0775d6d5d8a.jpg,False,20.0,0.0,325961,Láser,Láser,326576,Xerox Phaser,Phaser,326187,Xerox,104994,Xerox,Xerox,325923,Estándar,Estándar,0.0,3020 (3020V_BIC),Xerox,Wi-Fi,Phaser 3020 (3020V_BIC),,,,[326055],['Wi-Fi'],['Wi-Fi'],impresoras
111472,HP LaserJet 107a (4ZB77A) + Toner 105A,832,HP,1398035,2021-05-27T05:45:46.131493+00:00,2021-05-27T05:46:08.456578+00:00,HP LaserJet 107a (4ZB77A) + Toner 105A 0.0 HP LaserJet LaserJet HP HP HP Láser Láser Estándar Estándar 0.0 21.0 False 107a (4ZB77A) + Toner 105A Desconocido Desconocido 12 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro,https://publicapi.solotodo.com/products/111472/,https://publicapi.solotodo.com/categories/16/,hp-laserjet-107a-4zb77a-toner-105a,https://media.solotodo.com/media/products/1003854_picture_1571699950.jpg,1398035,HP LaserJet 107a (4ZB77A) + Toner 105A,677000,Desconocido,Desconocido,12,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/1003854_picture_1571699950.jpg,False,21.0,0.0,325961,Láser,Láser,326379,HP LaserJet,LaserJet,326133,HP,104463,HP,HP,325923,Estándar,Estándar,0.0,107a (4ZB77A) + Toner 105A,HP,No posee,LaserJet 107a (4ZB77A) + Toner 105A,,,,,,,impresoras
18846,Brother DCP-1602,764,Brother,326649,2015-03-22T00:00:00+00:00,2020-10-17T11:19:13.215120+00:00,Brother DCP-1602 A A 4 USB 2.0 USB 2.0 USB 2.0 Blanco y negro Blanco y negro False 21.0 0.0 Láser Láser Brother   Brother Brother Brother Multifuncional Multifuncional 0.661 DCP-1602 Copiadora Copiadora Escáner Escáner,https://publicapi.solotodo.com/products/18846/,https://publicapi.solotodo.com/categories/16/,brother-dcp-1602,https://media.solotodo.com/media/products/DCP-1602.jpg,326649,Brother DCP-1602,676976,A,A,4,326195,USB 2.0,130924,USB 2.0,USB 2.0,325994,Blanco y negro,Blanco y negro,products/DCP-1602.jpg,False,21.0,0.0,325961,Láser,Láser,326207,Brother, ,326099,Brother,104209,Brother,Brother,325931,Multifuncional,Multifuncional,0.661,DCP-1602,Brother,No posee,DCP-1602,"[326062, 326072]","['Copiadora', 'Escáner']","['Copiadora', 'Escáner']",,,,impresoras
126629,AgfaPhoto Realipix AMO46,187,AgfaPhoto,1504406,2021-12-06T12:53:04.974098+00:00,2021-12-06T12:53:28.394183+00:00,AgfaPhoto Realipix AMO46 N/A N/A N/A 0.0 False 0.0 AMO46 Desconocido Desconocido 12 0.0 Bluetooth Bluetooth Pocket Pocket Inyección de tinta Inyección de tinta AgfaPhoto Realipix AgfaPhoto AgfaPhoto AgfaPhoto Realipix Color Color,https://publicapi.solotodo.com/products/126629/,https://publicapi.solotodo.com/categories/16/,agfaphoto-realipix-amo46,https://media.solotodo.com/media/products/1504406_picture_1638795206.jpg,1504406,AgfaPhoto Realipix AMO46,677000,Desconocido,Desconocido,12,1046016,,1046014,,,326003,Color,Color,products/1504406_picture_1638795206.jpg,False,0.0,0.0,325952,Inyección de tinta,Inyección de tinta,1485518,AgfaPhoto Realipix,Realipix,1485517,AgfaPhoto,1485515,AgfaPhoto,AgfaPhoto,325940,Pocket,Pocket,0.0,AMO46,AgfaPhoto,Bluetooth,Realipix AMO46,,,,[326009],['Bluetooth'],['Bluetooth'],impresoras
